country,both,male,female,drinking age
Nepal,0.62,1.1,0.25,18
Timor-Leste,0.53,0.84,0.21,0
Jordan,0.52,0.89,0.14,18
Niger,0.52,0.89,0.15,18
Morocco,0.49,0.87,0.13,18
Tonga,0.43,0.73,0.15,18
Iraq,0.37,0.64,0.1,21
Djibouti,0.36,0.6,0.093,0
Indonesia,0.22,0.37,0.063,21
Bhutan,0.21,0.33,0.077,18
Syria,0.19,0.32,0.047,18
Egypt,0.14,0.24,0.037,21
Mauritania,0,0,0,21
Bangladesh,0,0,0,18
